Mês acidente ;Ign/Em Branco;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Ign/Branco;22;-;-;-;-;-;-;-;-;-;-;-;-;22
Janeiro;-;33479;-;-;-;-;-;-;-;-;-;-;-;33479
Fevereiro;-;-;31548;-;-;-;-;-;-;-;-;-;-;31548
Marco;-;-;-;32590;-;-;-;-;-;-;-;-;-;32590
Abril;-;-;-;-;28292;-;-;-;-;-;-;-;-;28292
Maio;-;-;-;-;-;26663;-;-;-;-;-;-;-;26663
Junho;-;-;-;-;-;-;23489;-;-;-;-;-;-;23489
Julho;-;-;-;-;-;-;-;24077;-;-;-;-;-;24077
Agosto;-;-;-;-;-;-;-;-;25270;-;-;-;-;25270
Setembro;-;-;-;-;-;-;-;-;-;26935;-;-;-;26935
Outubro;-;-;-;-;-;-;-;-;-;-;30919;-;-;30919
Novembro;-;-;-;-;-;-;-;-;-;-;-;33599;-;33599
Dezembro;-;-;-;-;-;-;-;-;-;-;-;-;29416;29416
