Mês acidente ;Ign/Em Branco;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Ign/Branco;17;-;-;-;-;-;-;-;-;-;-;-;-;17
Janeiro;-;32098;-;-;-;-;-;-;-;-;-;-;-;32098
Fevereiro;-;-;29315;-;-;-;-;-;-;-;-;-;-;29315
Marco;-;-;-;31689;-;-;-;-;-;-;-;-;-;31689
Abril;-;-;-;-;27349;-;-;-;-;-;-;-;-;27349
Maio;-;-;-;-;-;27417;-;-;-;-;-;-;-;27417
Junho;-;-;-;-;-;-;23490;-;-;-;-;-;-;23490
Julho;-;-;-;-;-;-;-;27190;-;-;-;-;-;27190
Agosto;-;-;-;-;-;-;-;-;28511;-;-;-;-;28511
Setembro;-;-;-;-;-;-;-;-;-;32053;-;-;-;32053
Outubro;-;-;-;-;-;-;-;-;-;-;32310;-;-;32310
Novembro;-;-;-;-;-;-;-;-;-;-;-;34098;-;34098
Dezembro;-;-;-;-;-;-;-;-;-;-;-;-;27463;27463
